Atlantic Surf I UM B 2014																																																																																						
CLASES	LANCES																																																																																					
75	87																																																																																					
51	11	5	20	9	0	0	81	177	12	396	72	2	19	66	201	12	11	98	376	476	3587	256	443	96	945	802	807	442	827	94	812	576	363	11	1037	769	302	75	324	1428	1072	422	13	8	5	196	617	206	251	34	517	710	59	271	0	116	352	451	62	69	158	607	568	5	213	413	256	9	27	232	772	22	1062	488	274	6	282	568	6	337	88	102	346	0	5	7
52	18	22	29	9	10	8	106	200	18	476	149	7	26	87	288	6	30	92	415	536	3297	392	414	289	1308	1492	975	573	783	115	833	775	417	14	1673	1040	655	81	345	1586	1170	650	9	8	9	283	617	328	465	76	502	1065	84	286	0	232	340	594	103	155	143	644	580	5	295	444	263	12	27	340	1115	11	1399	504	260	14	476	681	9	293	113	129	481	6	5	18
53	15	17	56	12	14	0	63	188	30	555	109	7	36	83	247	15	30	89	402	468	2314	482	471	279	1054	951	750	414	511	175	876	708	435	9	1506	973	470	64	317	1388	1706	866	23	15	5	381	648	243	295	76	517	757	159	406	13	251	657	638	106	149	218	720	942	27	377	505	325	3	15	319	1372	11	1230	715	308	3	688	698	14	326	100	113	481	0	38	16
54	25	12	18	2	10	0	69	259	48	535	68	0	36	66	201	12	17	76	272	170	2892	362	443	225	472	746	713	338	392	148	491	797	381	19	1573	679	285	47	261	714	828	1003	8	4	5	479	525	121	221	65	472	734	126	346	0	184	446	418	50	149	120	417	677	5	491	413	209	12	18	167	815	16	965	358	123	17	547	681	12	261	105	129	414	6	14	11
55	25	29	78	9	14	0	150	377	24	1189	161	0	29	79	299	18	41	165	363	366	2372	497	529	450	727	933	619	432	359	209	918	841	907	42	2309	1380	403	81	451	1507	1340	1094	27	17	5	599	695	473	560	137	517	947	260	602	13	367	469	616	103	176	203	588	1027	22	704	719	441	18	54	329	1715	11	1037	455	233	20	582	649	9	423	176	188	491	0	14	32
56	40	12	49	11	10	0	119	365	73	832	153	5	36	91	345	21	48	165	441	136	983	332	514	418	600	466	619	244	261	216	940	819	744	40	1573	679	571	47	324	793	1413	1185	13	12	11	675	525	303	361	69	593	947	176	482	7	319	411	451	84	171	315	569	858	33	410	352	318	6	18	173	815	11	579	537	219	31	582	470	12	347	105	129	394	0	10	37
57	11	10	58	2	10	3	132	412	73	535	169	2	29	62	335	12	48	146	259	153	752	332	343	493	400	578	525	179	152	182	705	797	653	55	669	430	403	78	226	555	950	798	23	23	20	523	324	219	243	93	609	639	226	286	20	358	446	385	89	203	255	455	459	27	393	367	240	15	27	243	429	0	724	455	191	20	494	600	6	304	126	140	356	0	10	46
58	33	27	63	7	24	8	150	247	103	555	125	2	16	95	185	24	44	140	363	145	636	332	400	450	254	373	394	113	185	216	577	664	617	60	1707	769	420	44	141	754	877	1037	3	12	22	566	556	267	280	120	730	994	260	482	40	358	528	407	126	203	248	417	495	71	622	214	341	18	39	216	879	0	314	325	301	14	494	308	3	271	88	194	404	0	14	37
59	25	15	43	4	7	0	63	212	79	535	68	5	13	33	144	25	56	95	246	111	463	256	329	246	164	205	356	66	163	216	491	221	399	48	602	204	235	33	99	357	536	501	11	14	20	349	370	231	192	65	411	189	109	241	47	261	516	297	70	197	240	303	350	49	180	214	178	21	36	140	322	0	265	179	130	8	459	162	3	195	67	91	231	0	5	28
60	44	37	78	12	24	5	213	389	79	812	209	11	26	91	165	22	51	114	376	119	463	392	300	429	91	187	206	66	185	169	705	531	599	132	1506	543	302	31	127	357	780	399	21	14	30	490	324	352	450	206	426	379	302	181	107	222	176	429	109	192	300	512	387	126	426	398	310	32	84	119	536	5	386	195	191	6	547	178	0	304	134	140	173	0	5	53
