Atlantic Surf III UM B 2016																																																																																							
CLASES	LANCES																																																																																						
75	88																																																																																						
41	21	15	2	1	1	0	25	13	12	6	44	17	88	187	88	1	1	96	49	36	33	84	86	0	4	74	72	5	172	5	27	3	0	0	0	4	2	148	44	9	30	117	77	66	44	58	37	73	97	188	70	33	63	69	6	19	0	19	46	26	34	28	97	11	67	85	33	49	38	213	0	0	3	36	163	55	77	6	73	27	94	8	0	0	32	229	2
42	21	9	0	0	2	0	48	15	10	11	48	24	75	107	197	1	1	80	16	48	100	103	132	7	8	93	48	6	109	10	19	0	0	0	15	4	0	123	0	6	18	67	21	33	38	19	24	102	0	107	105	49	55	17	3	31	48	19	77	40	20	17	97	3	34	102	19	15	82	213	4	0	0	36	106	39	83	3	49	20	38	6	0	0	37	288	0
43	37	6	0	0	4	0	13	10	2	6	31	8	115	124	44	1	4	80	16	109	33	30	52	0	0	28	72	6	78	26	22	1	0	1	7	2	0	76	74	2	27	67	30	79	57	46	12	73	49	94	88	16	86	69	1	25	38	19	46	101	47	17	114	3	34	85	17	57	44	183	4	0	0	36	114	26	45	0	49	39	75	4	0	0	57	197	1
44	9	0	0	0	2	1	18	15	6	8	17	16	47	90	77	1	1	40	25	60	66	78	81	0	0	56	24	4	78	21	27	0	0	0	0	2	0	62	30	1	30	101	26	39	19	19	24	15	24	134	18	49	149	103	3	12	19	19	62	48	44	23	114	11	51	186	17	26	25	304	4	0	0	73	82	33	58	0	33	27	50	9	1	0	30	216	0
45	21	3	3	0	2	0	46	13	8	6	44	16	68	57	55	0	1	64	41	85	166	84	115	3	0	84	103	5	78	31	24	0	0	0	0	10	2	98	89	7	48	42	51	33	51	14	61	44	24	134	53	33	102	26	3	31	48	33	93	88	50	17	97	5	135	169	9	38	88	852	2	0	3	109	65	20	51	0	90	30	44	4	0	0	79	236	3
46	12	6	0	2	2	0	33	15	14	4	17	12	183	119	44	0	1	24	33	145	166	30	115	0	0	46	56	6	148	52	14	1	0	0	0	6	0	47	119	6	36	75	30	33	25	22	49	73	0	121	140	66	63	86	10	43	57	0	77	75	60	45	16	8	84	85	0	45	44	517	0	0	3	145	155	28	45	0	98	30	63	2	0	0	134	59	2
47	12	3	2	1	2	0	18	10	8	8	9	3	163	85	44	0	4	112	58	121	166	24	75	0	4	56	56	6	70	67	20	4	0	0	0	0	0	54	133	1	42	84	39	53	25	17	110	73	73	214	158	82	126	43	10	62	38	11	46	88	50	40	65	11	51	102	7	41	63	426	8	0	0	200	49	18	38	9	49	27	69	3	0	0	94	52	1
48	12	9	0	2	6	2	28	10	14	9	22	11	149	45	55	0	3	88	58	169	232	91	144	0	8	111	111	6	148	78	10	1	0	0	0	2	4	40	252	2	85	92	21	59	38	19	37	58	146	255	228	181	126	60	11	93	38	19	201	136	47	23	114	5	118	203	10	49	69	883	12	0	0	91	90	37	90	9	98	27	44	3	0	0	102	111	1
49	6	9	3	0	3	0	13	3	10	8	13	3	156	51	55	0	2	32	33	109	166	42	178	3	0	74	80	0	94	41	3	0	0	0	15	0	0	18	74	2	100	50	26	26	51	10	73	102	170	174	193	49	102	43	7	62	96	15	155	66	74	40	81	11	185	152	14	49	44	670	2	3	0	145	114	16	134	6	138	27	82	3	1	0	97	39	1
50	9	12	0	3	2	1	15	53	16	26	44	17	122	45	88	0	3	48	49	109	863	133	322	0	4	158	191	5	133	52	27	0	0	0	7	0	2	58	267	8	85	151	51	118	38	10	122	204	122	134	315	165	157	69	16	43	124	26	310	88	70	40	146	8	270	220	9	60	107	1004	13	0	3	272	106	28	70	12	195	20	57	1	2	0	87	66	0
